date,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyGoodwill
2016-12-31,65000000,0,640000000.0,17858000000.0,0.0,420000000.0,,420000000.0,78000000.0,561000000.0,174000000,-3000000,414000000,-325000000.0,0.0,-9112000000.0,-194000000,22516000000.0,20711000000.0,76000000.0,,161000000.0,,-136000000,730000000.0,1503000000.0,556000000,-30000000.0,105000000,420000000,-356000000,-57000000,-191000000,462000000,-77000000.0,,140000000.0,2518000000.0,15912000000.0,210000000,1805000000.0,1898000000.0,172000000,,45000000.0,89000000,252000000,1328000000,26970000000.0,160000000.0,-30000000,16000000.0,803000000,78000000.0,348000000.0,684000000.0,525000000,858000000.0,273000000,14014000000.0,186000000.0,88000000.0,6531000000.0,,109000000,4719000000.0,109000000,6604000000.0,,,,,,,,,
2017-03-31,126000000,3000000,639000000.0,17980000000.0,-200000000.0,696000000.0,,696000000.0,75000000.0,361000000.0,304000000,306000000,128000000,-306000000.0,0.0,-9241000000.0,477000000,22869000000.0,20770000000.0,63000000.0,,116000000.0,,276000000,456000000.0,1503000000.0,420000000,-30000000.0,174000000,696000000,-329000000,-3000000,-179000000,598000000,-63000000.0,,59000000.0,2513000000.0,15947000000.0,219000000,2099000000.0,1343000000.0,-325000000,,95000000.0,-178000000,376000000,1382000000,27221000000.0,149000000.0,-23000000,10000000.0,729000000,65000000.0,326000000.0,667000000.0,653000000,890000000.0,277000000,14604000000.0,-214000000.0,90000000.0,7081000000.0,,178000000,4779000000.0,178000000,6922000000.0,,,,,,,,,
2017-06-30,151000000,9000000,634000000.0,18232000000.0,0.0,639000000.0,,639000000.0,77000000.0,361000000.0,386000000,7000000,544000000,-432000000.0,0.0,-9354000000.0,-171000000,23133000000.0,21054000000.0,54000000.0,,78000000.0,,-57000000,559000000.0,1503000000.0,696000000,-29000000.0,230000000,639000000,-430000000,7000000,-178000000,686000000,-54000000.0,,133000000.0,2564000000.0,16145000000.0,223000000,2079000000.0,1431000000.0,-29000000,,39000000.0,112000000,454000000,1484000000,27586000000.0,142000000.0,2000000,3000000.0,752000000,81000000.0,357000000.0,648000000.0,732000000,915000000.0,278000000,14714000000.0,60000000.0,91000000.0,7082000000.0,,235000000,4906000000.0,235000000,6988000000.0,,,,,,,,,
2017-09-30,216000000,6000000,626000000.0,18519000000.0,-36000000.0,953000000.0,,953000000.0,76000000.0,325000000.0,546000000,-2000000,739000000,-473000000.0,0.0,-9463000000.0,33000000,23789000000.0,21364000000.0,57000000.0,,54000000.0,,314000000,651000000.0,1747000000.0,639000000,-28000000.0,325000000,953000000,-458000000,12000000,-179000000,846000000,-57000000.0,,68000000.0,2711000000.0,16398000000.0,224000000,2425000000.0,1591000000.0,84000000,,115000000.0,266000000,616000000,1740000000,27982000000.0,127000000.0,15000000,21000000.0,846000000,75000000.0,428000000.0,630000000.0,894000000,934000000.0,278000000,14807000000.0,29000000.0,92000000.0,7083000000.0,,330000000,4979000000.0,330000000,7391000000.0,,,,,,,,,
2017-12-31,75000000,6000000,642000000.0,19134000000.0,-325000000.0,544000000.0,,544000000.0,76000000.0,,198000000,12000000,426000000,-671000000.0,0.0,-9563000000.0,-176000000,23864000000.0,21858000000.0,63000000.0,,60000000.0,,-409000000,912000000.0,1513000000.0,953000000,-26000000.0,119000000,544000000,-659000000,-69000000,-178000000,496000000,-63000000.0,,149000000.0,2647000000.0,16744000000.0,222000000,2006000000.0,1400000000.0,-1000000,,9000000.0,-245000000,268000000,1433000000,28697000000.0,214000000.0,12000000,-50000000.0,878000000,77000000.0,355000000.0,609000000.0,555000000,970000000.0,287000000,15344000000.0,196000000.0,92000000.0,7624000000.0,,123000000,4842000000.0,123000000,7120000000.0,,,,,,,,,
2018-03-31,82000000,18000000,657000000.0,19434000000.0,0.0,653000000.0,,653000000.0,79000000.0,448000000.0,311000000,475000000,155000000,-490000000.0,,-9693000000.0,518000000,24317000000.0,22181000000.0,51000000.0,,116000000.0,,109000000,649000000.0,1513000000.0,544000000,-31000000.0,225000000,653000000,-564000000,-22000000,-202000000,618000000,-50000000.0,,32000000.0,2670000000.0,16691000000.0,228000000,2136000000.0,1545000000.0,-312000000,,,-335000000,372000000,1473000000,29127000000.0,134000000.0,-75000000,-27000000.0,814000000,65000000.0,345000000.0,596000000.0,659000000,963000000.0,287000000,15146000000.0,-216000000.0,94000000.0,7429000000.0,,229000000,4859000000.0,229000000,7626000000.0,,,,,,,,,
2018-06-30,64000000,26000000,672000000.0,21194000000.0,,686000000.0,,686000000.0,80000000.0,200000000.0,326000000,-8000000,497000000,-507000000.0,,-9813000000.0,47000000,26270000000.0,23977000000.0,80000000.0,,261000000.0,,33000000,696000000.0,1513000000.0,653000000,-30000000.0,259000000,686000000,-511000000,-45000000,-200000000,630000000,-81000000.0,,16000000.0,2729000000.0,18578000000.0,224000000,2293000000.0,1610000000.0,68000000,,,-10000000,380000000,1503000000,31007000000.0,157000000.0,-3000000,-20000000.0,840000000,81000000.0,401000000.0,580000000.0,663000000,972000000.0,283000000,16968000000.0,20000000.0,95000000.0,7922000000.0,,262000000,4890000000.0,262000000,7692000000.0,,,,,,,,,
2018-09-30,127000000,25000000,653000000.0,21536000000.0,,702000000.0,,702000000.0,82000000.0,321000000.0,504000000,4000000,737000000,-532000000.0,,-9932000000.0,-196000000,26610000000.0,24272000000.0,76000000.0,-54000000.0,103000000.0,,16000000,766000000.0,1513000000.0,686000000,-29000000.0,373000000,702000000,-525000000,-13000000,-200000000,817000000,-76000000.0,,56000000.0,2902000000.0,18734000000.0,231000000,2338000000.0,1876000000.0,58000000,,97000000.0,205000000,561000000,1740000000,31468000000.0,149000000.0,7000000,-22000000.0,890000000,81000000.0,455000000.0,542000000.0,850000000,1001000000.0,289000000,16858000000.0,2000000.0,96000000.0,7803000000.0,,377000000,4933000000.0,377000000,7876000000.0,,,,,,,,,
2018-12-31,19000000,15000000,687000000.0,21978000000.0,-120000000.0,313000000.0,,313000000.0,83000000.0,201000000.0,96000000,7000000,492000000,-629000000.0,,-9988000000.0,-192000000,26730000000.0,24821000000.0,71000000.0,,161000000.0,,-389000000,978000000.0,1513000000.0,702000000,-28000000.0,73000000,313000000,-689000000,-38000000,-199000000,413000000,-72000000.0,,70000000.0,2775000000.0,18962000000.0,234000000,1909000000.0,1959000000.0,153000000,,,-137000000,164000000,1316000000,31966000000.0,155000000.0,-59000000,-13000000.0,858000000,89000000.0,403000000.0,496000000.0,458000000,912000000.0,294000000,17003000000.0,218000000.0,96000000.0,7920000000.0,,77000000,4989000000.0,77000000,7768000000.0,,,,,,,,,
2019-03-31,62000000,28000000,678000000.0,22310000000.0,-200000000.0,759000000.0,,759000000.0,83000000.0,1000000.0,283000000,1222000000,146000000,-390000000.0,160000000.0,-9447000000.0,811000000,27407000000.0,25110000000.0,68000000.0,,97000000.0,,446000000,608000000.0,1513000000.0,313000000,-27000000.0,217000000,759000000,-511000000,-24000000,-211000000,610000000,-68000000.0,,0.0,2781000000.0,18396000000.0,244000000,2297000000.0,1242000000.0,-295000000,,,-244000000,338000000,1408000000,31757000000.0,146000000.0,-121000000,-4000000.0,768000000,77000000.0,382000000.0,489000000.0,640000000,997000000.0,302000000,17154000000.0,-286000000.0,97000000.0,7924000000.0,,221000000,4986000000.0,221000000,9011000000.0,,,,,,,,,
2019-06-30,89000000,25000000,673000000.0,21373000000.0,0.0,623000000.0,,623000000.0,82000000.0,1000000.0,388000000,17000000,549000000,-443000000.0,,-9397000000.0,-194000000,28067000000.0,25683000000.0,71000000.0,,155000000.0,,-136000000,655000000.0,1513000000.0,759000000,-26000000.0,296000000,623000000,-491000000,-48000000,-211000000,719000000,-71000000.0,,138000000.0,2866000000.0,18947000000.0,249000000,2384000000.0,1395000000.0,-76000000,,,106000000,445000000,1513000000,30770000000.0,230000000.0,-48000000,9000000.0,770000000,88000000.0,432000000.0,464000000.0,743000000,1028000000.0,298000000,17552000000.0,40000000.0,98000000.0,7926000000.0,,299000000,5123000000.0,299000000,9120000000.0,,,,,,,,,
2019-09-30,144000000,24000000,687000000.0,21584000000.0,0.0,1337000000.0,,1337000000.0,83000000.0,1000000.0,617000000,-14000000,776000000,-406000000.0,,-9465000000.0,375000000,29019000000.0,25933000000.0,62000000.0,,122000000.0,,714000000,668000000.0,1513000000.0,623000000,-25000000.0,469000000,1337000000,-437000000,-28000000,-211000000,963000000,-62000000.0,,10000000.0,3124000000.0,19642000000.0,263000000,3086000000.0,1455000000.0,75000000,,,370000000,676000000,1841000000,31049000000.0,228000000.0,-31000000,6000000.0,869000000,74000000.0,501000000.0,441000000.0,972000000,1039000000.0,296000000,18187000000.0,-21000000.0,99000000.0,8520000000.0,,473000000,5135000000.0,473000000,9377000000.0,,,,,,,,,
